Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,ImpProb_H,ImpProb_D,ImpProb_A,HomeResult,AwayResult,Home_GF_avg,Home_GA_avg,Home_WinRate,Away_GF_avg,Away_GA_avg,Away_WinRate,Diff_GF,Diff_GA,Diff_WinRate,True,Pred,P_A,P_D,P_H,Profit,Capital
2021-22,2021-08-21 15:00:00+00:00,Aston Villa,Newcastle,2,0,H,1.0,0.0,H,D Coote,10.0,9.0,2.0,1.0,3.0,4.0,8.0,18.0,3.0,4.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.2,1.6,0.2,1.8,1.4,0.6,-0.6000000000000001,0.2000000000000001,-0.3999999999999999,H,A,0.4358602582401124,0.2280031718839993,0.3361365698758882,-1.0,99.59803791209085
2021-22,2021-08-21 15:00:00+00:00,Crystal Palace,Brentford,0,0,D,0.0,0.0,D,M Atkinson,7.0,14.0,2.0,3.0,3.0,5.0,12.0,9.0,3.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,1.2,2.2,0.4,,,,,,,D,H,0.315470945851208,0.2398322351063037,0.4446968190424879,-1.0,98.59803791209085
2021-22,2021-08-21 15:00:00+00:00,Man City,Norwich,5,0,H,2.0,0.0,H,G Scott,16.0,1.0,4.0,0.0,6.0,1.0,13.0,7.0,1.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,2.4,1.6,0.4,0.2,2.6,0.0,2.2,-1.0,0.4,H,H,0.1421879292025202,0.1810759687711904,0.6767361020262893,1.299114531612049,99.8971524437029
2021-22,2021-08-21 17:30:00+00:00,Brighton,Watford,2,0,H,2.0,0.0,H,A Taylor,13.0,10.0,3.0,1.0,7.0,2.0,11.0,6.0,4.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.8,0.6,0.6,0.6,2.2,0.0,1.2000000000000002,-1.6,0.6,H,H,0.1407801272348819,0.1919759399937843,0.6672439327713332,1.299114531612049,101.19626697531494
2021-22,2021-08-22 14:00:00+00:00,Southampton,Man United,1,1,D,1.0,0.0,H,C Pawson,8.0,15.0,3.0,4.0,7.0,7.0,12.0,10.0,2.0,3.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,2.0,1.4,0.6,2.0,0.6,0.8,0.0,0.7999999999999999,-0.2,D,D,0.3217136612843617,0.4983576556394338,0.1799286830762046,3.084460452807998,104.28072742812294
2021-22,2021-08-22 14:00:00+00:00,Wolves,Tottenham,0,1,A,0.0,1.0,A,S Attwell,25.0,8.0,6.0,6.0,5.0,4.0,9.0,7.0,1.0,4.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,1.2,2.0,0.4,2.2,1.8,0.4,-1.0000000000000002,0.1999999999999999,0.0,A,A,0.4193033317517728,0.3629910647614056,0.2177056034868214,2.7006943172546993,106.98142174537765
2021-22,2021-08-22 16:30:00+00:00,Arsenal,Chelsea,0,2,A,0.0,2.0,A,P Tierney,6.0,22.0,3.0,5.0,9.0,8.0,10.0,4.0,3.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,1.2,1.2,0.4,1.6,0.8,0.6,-0.4000000000000001,0.3999999999999999,-0.1999999999999999,A,A,0.3932052349947533,0.2873070431307314,0.3194877218745152,0.0,106.98142174537765
2021-22,2021-08-23 20:00:00+00:00,West Ham,Leicester,4,1,H,1.0,0.0,H,M Oliver,13.0,5.0,7.0,1.0,10.0,0.0,8.0,8.0,0.0,1.0,0.0,1.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.8,1.4,0.4,1.6,1.6,0.4,0.1999999999999999,-0.2000000000000001,0.0,H,H,0.31286282841651,0.2552642210542521,0.4318729505292378,1.299114531612049,108.2805362769897
2021-22,2021-08-28 12:30:00+00:00,Man City,Arsenal,5,0,H,3.0,0.0,H,M Atkinson,25.0,1.0,10.0,0.0,14.0,0.0,5.0,7.0,1.0,2.0,0.0,1.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,3.4,1.2,0.6,1.8,0.6,0.8,1.6,0.6,-0.2,H,H,0.2664655922182104,0.2994538007919274,0.4340806069898621,1.299114531612049,109.57965080860174
2021-22,2021-08-28 15:00:00+00:00,West Ham,Crystal Palace,2,2,D,1.0,0.0,H,S Attwell,14.0,9.0,4.0,2.0,5.0,3.0,10.0,7.0,1.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,2.0,1.0,0.6,0.8,2.0,0.2,1.2,-1.0,0.3999999999999999,D,H,0.1492818308425433,0.1870896975933535,0.663628471564103,-1.0,108.57965080860174
