Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,ImpProb_H,ImpProb_D,ImpProb_A,HomeResult,AwayResult,Home_GF_avg,Home_GA_avg,Home_WinRate,Away_GF_avg,Away_GA_avg,Away_WinRate,Diff_GF,Diff_GA,Diff_WinRate,True,Pred,P_A,P_D,P_H,Profit,Capital
2021-22,2021-08-21 12:30:00+00:00,Liverpool,Burnley,2,0,H,1.0,0.0,H,M Dean,27.0,9.0,9.0,3.0,8.0,4.0,6.0,12.0,0.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.4,0.6,0.6,1.8,1.4,0.4,-0.4000000000000001,-0.7999999999999999,0.1999999999999999,H,H,0.3462204504775088,0.2955570509802649,0.3582224985422263,0.0,104.29873222934555
2021-22,2021-08-21 15:00:00+00:00,Leeds,Everton,2,2,D,1.0,1.0,D,D England,17.0,17.0,4.0,8.0,8.0,5.0,6.0,13.0,2.0,4.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,1.8,0.8,0.6,0.4,1.0,0.4,1.4,-0.1999999999999999,0.1999999999999999,D,H,0.1562318362005598,0.175400032171154,0.6683681316282861,-1.0,103.29873222934555
2021-22,2021-08-21 15:00:00+00:00,Aston Villa,Newcastle,2,0,H,1.0,0.0,H,D Coote,10.0,9.0,2.0,1.0,3.0,4.0,8.0,18.0,3.0,4.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.2,1.6,0.2,1.8,1.4,0.6,-0.6000000000000001,0.2000000000000001,-0.3999999999999999,H,A,0.5185518912338093,0.2037353553990927,0.277712753367098,-1.0,102.29873222934555
2021-22,2021-08-21 15:00:00+00:00,Crystal Palace,Brentford,0,0,D,0.0,0.0,D,M Atkinson,7.0,14.0,2.0,3.0,3.0,5.0,12.0,9.0,3.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,1.2,2.2,0.4,,,,,,,D,H,0.2308509689046544,0.2252146970809679,0.5439343340143776,-1.0,101.29873222934555
2021-22,2021-08-21 15:00:00+00:00,Man City,Norwich,5,0,H,2.0,0.0,H,G Scott,16.0,1.0,4.0,0.0,6.0,1.0,13.0,7.0,1.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,2.4,1.6,0.4,0.2,2.6,0.0,2.2,-1.0,0.4,H,H,0.3120445726783635,0.1395928781672832,0.5483625491543532,1.299114531612049,102.5978467609576
2021-22,2021-08-21 17:30:00+00:00,Brighton,Watford,2,0,H,2.0,0.0,H,A Taylor,13.0,10.0,3.0,1.0,7.0,2.0,11.0,6.0,4.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.8,0.6,0.6,0.6,2.2,0.0,1.2000000000000002,-1.6,0.6,H,H,0.1238450762884311,0.1937560797422594,0.6823988439693095,1.299114531612049,103.89696129256964
2021-22,2021-08-22 14:00:00+00:00,Southampton,Man United,1,1,D,1.0,0.0,H,C Pawson,8.0,15.0,3.0,4.0,7.0,7.0,12.0,10.0,2.0,3.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,2.0,1.4,0.6,2.0,0.6,0.8,0.0,0.7999999999999999,-0.2,D,A,0.4541077552170057,0.3298929417432909,0.2159993030397033,-1.0,102.89696129256964
2021-22,2021-08-22 14:00:00+00:00,Wolves,Tottenham,0,1,A,0.0,1.0,A,S Attwell,25.0,8.0,6.0,6.0,5.0,4.0,9.0,7.0,1.0,4.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,1.2,2.0,0.4,2.2,1.8,0.4,-1.0000000000000002,0.1999999999999999,0.0,A,A,0.4878071762742652,0.2358064918930723,0.2763863318326625,2.7006943172546993,105.59765560982434
2021-22,2021-08-22 16:30:00+00:00,Arsenal,Chelsea,0,2,A,0.0,2.0,A,P Tierney,6.0,22.0,3.0,5.0,9.0,8.0,10.0,4.0,3.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,1.2,1.2,0.4,1.6,0.8,0.6,-0.4000000000000001,0.3999999999999999,-0.1999999999999999,A,A,0.4917593077759485,0.2355481963510139,0.2726924958730374,2.7006943172546993,108.29834992707904
2021-22,2021-08-23 20:00:00+00:00,West Ham,Leicester,4,1,H,1.0,0.0,H,M Oliver,13.0,5.0,7.0,1.0,10.0,0.0,8.0,8.0,0.0,1.0,0.0,1.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.8,1.4,0.4,1.6,1.6,0.4,0.1999999999999999,-0.2000000000000001,0.0,H,H,0.2898114075244122,0.2479094344937966,0.4622791579817911,1.299114531612049,109.59746445869109
2021-22,2021-08-28 12:30:00+00:00,Man City,Arsenal,5,0,H,3.0,0.0,H,M Atkinson,25.0,1.0,10.0,0.0,14.0,0.0,5.0,7.0,1.0,2.0,0.0,1.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,3.4,1.2,0.6,1.8,0.6,0.8,1.6,0.6,-0.2,H,H,0.2402297628162468,0.1868703342590895,0.5728999029246635,1.299114531612049,110.89657899030314
2021-22,2021-08-28 15:00:00+00:00,West Ham,Crystal Palace,2,2,D,1.0,0.0,H,S Attwell,14.0,9.0,4.0,2.0,5.0,3.0,10.0,7.0,1.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,2.0,1.0,0.6,0.8,2.0,0.2,1.2,-1.0,0.3999999999999999,D,H,0.1388630795800689,0.1963637883058487,0.6647731321140824,-1.0,109.89657899030314
2021-22,2021-08-28 15:00:00+00:00,Norwich,Leicester,1,2,A,1.0,1.0,D,R Jones,14.0,9.0,4.0,3.0,9.0,9.0,8.0,9.0,2.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,0.0,2.2,0.0,1.4,2.2,0.2,-1.4,0.0,-0.2,A,A,0.530373048366255,0.2805706465691207,0.1890563050646242,2.7006943172546993,112.59727330755784
2021-22,2021-08-28 15:00:00+00:00,Newcastle,Southampton,2,2,D,0.0,0.0,D,P Tierney,10.0,22.0,5.0,6.0,4.0,4.0,11.0,6.0,3.0,3.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,1.8,2.4,0.4,0.4,2.6,0.0,1.4,-0.2000000000000001,0.4,D,A,0.3910042661517347,0.305523547881522,0.3034721859667432,0.0,112.59727330755784
2021-22,2021-08-28 15:00:00+00:00,Brighton,Everton,0,2,A,0.0,1.0,A,J Moss,14.0,14.0,3.0,5.0,4.0,5.0,7.0,9.0,1.0,2.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,1.6,0.6,0.6,0.8,1.4,0.4,0.8,-0.7999999999999999,0.1999999999999999,A,H,0.1692535673215252,0.2498916472387325,0.5808547854397422,-1.0,111.59727330755784
2021-22,2021-08-28 15:00:00+00:00,Aston Villa,Brentford,1,1,D,1.0,1.0,D,P Bankes,7.0,9.0,5.0,2.0,3.0,2.0,15.0,14.0,3.0,3.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,1.4,1.2,0.4,0.0,0.0,0.0,1.4,1.2,0.4,D,A,0.4117019908682824,0.3917510315722159,0.1965469775595016,-1.0,110.59727330755784
