Model,ROI,Sharpe,MaxDrawdown,FinalCapital,NumBets
logreg,-0.35486082789030987,-0.08896164649382905,-0.4093184748361808,64.51391721096901,236
rf,0.6523919185634063,0.16708432670652315,-0.0726528180539735,165.23919185634063,238
xgb,0.7034108365697143,0.17397931790282797,-0.08360821934523532,170.34108365697142,250
mlp,0.7965599604500986,0.18683705987682633,-0.09517788049491605,179.65599604500986,257
