model,logloss,brier,acc
logreg,1.0466487177750052,0.20947901274709,0.4692556634304207
rf,1.0524842404082377,0.21147555496081746,0.4627831715210356
xgb,1.0543860518424055,0.21197125896158836,0.46601941747572817
mlp,1.0411101266823106,0.2086343141321593,0.4627831715210356
