model,logloss,brier,accuracy
RandomForest,1.0562183436235884,0.2123540853137512,0.45307443365695793
XGBoost,1.065720009285521,0.2140901943002964,0.44336569579288027
MLP,1.0703391407984686,0.2143136053673123,0.4368932038834951
